Company Name,SEC Number,Date Registered,Status,Address
"'94 BUILDERS CONSTRUCTION AND SUPPLY CORP.","CS201966232","February 8, 2019","Registered","BLOCK 12; LOT 25 ; GREEN ORCHARD VILLAGE ; Cabantian; DAVAO CITY; DAVAO DEL SUR; REGION XI (DAVAO REGION); 8000"
"101 General Construction and Supply CO.","PG201970110","August 27, 2019","Registered","102 ; SAN JOSE STREET ; Pagatpat (San Jose); CALABANGA; CAMARINES SUR; REGION V (BICOL REGION); 4405"
"16EAST CONSTRUCTION AND SUPPLY CORPORATION","CS201812892","July 9, 2018","Delinquent","867 ; Washington Drive ; ALBAY; REGION V (BICOL REGION); 4500"
"1ST BALMON CONSTRUCTION AND SUPPLY Co.","PG201826301","December 28, 2018","Registered","Balete ; Balete ; BATANGAS; REGION IV-A (CALABARZON); 4200"
"249 CONSTRUCTION AND SUPPLY COMPANY","2024100171735-40","October 4, 2024","Registered","61 ; KAMUNING ROAD ; Kamuning; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1103"
"2X3 CONSTRUCTION AND SUPPLY CORP.","2021090025516-01","September 16, 2021","Registered","Jelicuon Lusaya; CABATUAN ; CABATUAN; ILOILO; REGION VI (WESTERN VISAYAS); 5033"
"3 K&C CONSTRUCTION AND SUPPLY CORPORATION","CS201642220","December 28, 2016","Delinquent","GOMEZ STREET ; SINDANGAN; ZAMBOANGA DEL NORTE; REGION IX (ZAMBOANGA PENINSULA); 7112"
"3K FHRANCIS CYRENE CONSTRUCTION AND SUPPLY CORP.","CS202051449","March 9, 2020","Registered","2/F REX HOTEL BLDG. ; AGUINALDO ST. ; ALBAY; REGION V (BICOL REGION); 4500"
"3KRIS CONSTRUCTION AND SUPPLY CORPORATION","CS201331356","September 27, 2013","Registered","165 ; SOLIVIO ; SULTAN KUDARAT; MAGUINDANAO; BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM); 9508"
"KADALINE ENTERPRISE OPC","2023050097984-08","May 5, 2023","Registered","298 ; UNIT 24/ 22ND FLOOR ; GRAND CENTRAL RESIDENCES CONDOMINIUMS ; EDSA COR. SULTAN STREET ; Highway Hills; CITY OF MANDALUYONG; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1550"
"SILVER WINGS ENTERPRISE CORPORATION","2021110031183-01","November 3, 2021","Registered","NO. 4 ; ; ZABALA COMPOUND; ; GAV-RIELLE APARTMENT ; Cupang Proper; II ; CITY OF BALANGA (Capital); BATAAN; REGION III (CENTRAL LUZON); 2100"
""SUSTAINABLE ENTERPRISE AND INTEGRATED RESOURCES FOR THE ADVANCEMENT OF COMMUNITIES" (SEIRAC); INC.","CN200727194","May 3, 2007","Suspended","SSU-MERCEDES CAMPUS ; CITY OF CATBALOGAN (Capital); SAMAR; REGION VIII (EASTERN VISAYAS)"
"*YOU-NET ENTERPRISE NETWORK SOLUTION INC.","CS200706079","April 20, 2007","Registered","Unit 504 ; One Corporate Plaza 845 Arnaiz ; CITY OF MAKATI; FOURTH DISTRICT; NATIONAL CAPITAL REGION (NCR)"
"1 DYNAFLEX ENTERPRISE INC.","CS201803529","March 16, 2018","Delinquent","75 ; CIRCUMFERENTIAL ROAD ; RIZAL; REGION IV-A (CALABARZON); 1870"
"1 Fam Social Enterprise Inc. doing business under the name/s and style/s of 1 Fam","2022040051029-00","April 30, 2022","Registered","10 ; ROAD 9 ; Project 6; DISTRICT 1 ; QUEZON CITY; SECOND DISTRICT; NATIONAL CAPITAL REGION (NCR); 1100"
"1 OLIGABXIA ENTERPRISE Co.","PG201800779","February 13, 2018","Registered","001 Criselda Bldg ; Ibanez St. cor. M. Diaz ; ANGONO; RIZAL; REGION IV-A (CALABARZON); 1930"
"1 SOURCE GLOBAL ENTERPRISE INC.","CS201222617","December 10, 2012","Suspended","7 ; V ANGELES ST ; CITY OF MANILA; NATIONAL CAPITAL REGION (NCR)"
